"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-02-27","12.75","0.40","0.0","0.0",,"43","31","  280","  290","28.0","44.1","    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-02-28","9.84","0.00","0.0","0.0",,"42","29","  270","  230","21.0","34.0",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-02-29","8.72","0.00","0.0","0.0",,"35","25","  300","  330","18.1","30.0",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-03-01","6.04","0.00","0.0","0.0",,"44","25","  280","  270","15.0","25.1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-03-02","6.49","0.00","0.0","0.0",,"58","40","  220","  220","15.0","23.0",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-03-03","6.04","0.26","0.0","0.0",,"59","49","  260","  280","19.9","32.0","    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-03-04","10.29","0.00","0.0","0.0",,"56","45","  280","  280","21.9","35.1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-03-05","5.37","0.00","0.0","0.0",,"51","39","  300","  310","15.0","23.0",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-03-06","7.61","0.37","0.0","0.0",,"45","37","   30","   30","17.0","29.1","    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-03-07","7.61","0.00","0.0","0.0",,"48","36","   20","   10","17.0","28.0",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-03-08","6.71","0.00","0.0","0.0",,"59","35","  240","  240","15.0","23.0",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-03-09","7.38","0.00","0.0","0.0",,"72","47","  240","  230","15.0","28.0",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-03-10","7.61","0.00","0.0","0.0",,"65","54","  240","  240","17.0","27.1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-03-11","4.70","0.00","0.0","0.0",,"57","43","  310","  310","17.0","25.9",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-03-12","5.14","0.03","0.0","0.0",,"50","43","   60","   50","12.1","16.1","    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-03-13","8.72","0.26","0.0","0.0",,"70","45","  250","  260","21.0","33.1","    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-03-14","7.38","0.00","0.0","0.0",,"57","43","  300","  310","18.1","30.0",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-03-15","6.26","0.00","0.0","0.0",,"54","40","   30","   20","15.0","21.9",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-03-16","8.95","0.00","0.0","0.0",,"45","33","   40","   40","16.1","25.9",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-03-17","4.25","0.16","0.0","0.0",,"54","41","  260","  250","14.1","21.0","    1",,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-03-18","4.47","0.00","0.0","0.0",,"54","41","  140","  150","13.0","19.0",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-03-19","4.70","0.93","0.0","0.0",,"52","41","   70","   60","16.1","21.0","    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-03-20","5.82","0.00","0.0","0.0",,"77","47","  280","  250","18.1","34.0","    1",,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-03-21","7.83","0.00","0.0","0.0",,"65","40","   40","   50","16.1","23.0",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-03-22","10.07","0.00","0.0","0.0",,"45","33","   50","   20","17.0","25.1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-03-23","9.17","1.16","0.0","0.0",,"41","36","   40","   30","19.9","31.1","    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-03-24","6.71","0.00","0.0","0.0",,"55","36","   40","  300","15.0","19.9",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-03-25","9.84","0.01","0.0","0.0",,"45","40","   50","   60","21.9","33.1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-03-26","4.47","0.00","0.0","0.0",,"60","38","   50","  220","14.1","19.9",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-03-27","4.92","0.00","0.0","0.0",,"69","50","   60","   20","13.0","19.9",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-03-28","7.38","0.45","0.0","0.0",,"54","44","   70","   70","17.0","25.1","    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-03-29","11.63","0.05","0.0","0.0",,"47","44","   60","   40","21.0","29.1","    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-03-30","4.70","0.04","0.0","0.0",,"52","41","   50","   50","13.0","16.1","    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-03-31","6.71","0.06","0.0","0.0",,"49","41","   50","   40","16.1","21.0","    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-01","7.61","0.00","0.0","0.0",,"56","38","   50","   40","17.0","23.0",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-02","9.40","0.00","0.0","0.0",,"58","38","  300","  280","21.0","35.1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-03","8.72","0.13","0.0","0.0",,"52","45","   10","   20","17.0","25.1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-04","4.25","0.02","0.0","0.0",,"62","46","   40","   30","15.0","23.0","    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-05","2.46","0.00","0.0","0.0",,"65","47","  140","  150","10.1","16.1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-06","5.82","0.07","0.0","0.0",,"66","49","  310","  320","13.0","19.0","    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-07","3.80","0.00","0.0","0.0",,"68","52","  150","  150","15.0","21.0",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-08","3.80","0.20","0.0","0.0",,"64","49","  350","  240","10.1","16.1","    1",,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-09","7.83","0.12","0.0","0.0",,"59","43","  300","  300","23.9","38.9","    1",,"    1",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-10","10.07","0.01","0.0","0.0",,"49","37","  280","  290","25.1","38.9",,,,
