boro,month,awnd,prcp,snow,tmax,tmin,wsf2,wt01,wt02,wt03,wt04,wt06,wt08,holiday,crime_type,weekday,value
QUEENS,7,0,0,0,88,73,10.1,0,0,0,0,0,0,0,theft_property,2,62
BRONX,7,0,0,0,88,73,10.1,0,0,0,0,0,0,0,other,2,43
MANHATTAN,7,0,0,0,96,78,10.1,0,0,0,0,0,0,0,violent,4,98
QUEENS,7,1,0,0,85,69,14.1,0,0,0,0,0,0,0,theft_property,4,77
BRONX,7,0,0,0,80,69,8.1,0,0,0,0,0,0,0,theft_property,5,68
BROOKLYN,7,0,0,0,88,75,13,1,0,0,0,0,1,0,violent,3,118
BRONX,7,0,0,0,88,73,10.1,0,0,0,0,0,0,0,violent,2,72
BRONX,7,1,0,0,85,69,14.1,0,0,0,0,0,0,0,other,4,54
MANHATTAN,7,0,0,0,89,74,10.1,0,0,0,0,0,0,0,theft_property,3,117
BRONX,8,0,0,0,87,72,12.1,0,0,0,0,0,0,0,other,4,79
BROOKLYN,6,0,0,0,84,68,13,0,0,0,0,0,0,0,theft_property,4,112
QUEENS,7,0,0,0,88,73,10.1,0,0,0,0,0,0,0,violent,2,63
MANHATTAN,7,0,0,0,89,74,10.1,0,0,0,0,0,0,0,other,3,87
BROOKLYN,7,0,0,0,87,70,10.1,0,0,0,0,0,0,0,violent,6,117
QUEENS,7,0,0,0,83,72,12.1,0,0,0,0,0,1,0,violent,2,44
QUEENS,7,0,0,0,80,69,8.1,0,0,0,0,0,0,0,theft_property,5,69
QUEENS,7,0,0,0,96,78,10.1,0,0,0,0,0,0,0,violent,4,73
MANHATTAN,6,0,0,0,76,63,12.1,0,0,0,0,0,0,0,other,2,56
BRONX,7,0,0,0,93,78,14.1,0,0,0,0,0,0,0,violent,1,98
BRONX,6,0,0,0,81,69,16.1,0,0,0,0,0,0,0,other,6,48
QUEENS,7,0,1,0,82,73,8.1,1,0,0,0,0,1,0,theft_property,3,68
BROOKLYN,6,1,0,0,90,75,16.1,0,0,0,0,0,0,0,other,3,82
QUEENS,7,0,0,0,84,72,12.1,1,0,0,0,0,0,0,violent,6,52
BRONX,7,0,1,0,79,68,12.1,1,0,0,0,0,1,0,violent,5,130
QUEENS,7,0,0,0,88,69,10.1,0,0,0,0,0,0,0,other,7,78
MANHATTAN,6,0,0,0,84,68,13,0,0,0,0,0,0,0,theft_property,4,139
